,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol
ENSG00000150637.7,0.917419117123398,0.890161579811196,0.94551130441059,2.13247417407317e-08,0.917702124622613,0.885854314383086,0.950694912089868,1.88191905287751e-06,CD226
ENSG00000174123.9,0.946893749352262,0.929059699136455,0.965070138545205,1.85567964169078e-08,0.94544565183208,0.920613232687896,0.970947895196313,3.61222720722358e-05,TLR10
ENSG00000197077.11,0.837549423210448,0.796123533958927,0.881130887855835,7.40522001343625e-12,0.817223009299293,0.740857840235449,0.901459646719733,5.51767441560631e-05,KIAA1671
ENSG00000234127.7,0.781969399372315,0.713193880762056,0.857377156547291,1.64145306125228e-07,0.780920652115246,0.688307199707743,0.885995475797782,0.000123399151618711,TRIM26
ENSG00000143870.11,1.18494044072145,1.11166584836006,1.26304487101809,1.88489773561502e-07,1.20522235545442,1.09528434336335,1.32619527969023,0.000130809062930945,PDIA6
ENSG00000125245.11,0.936630208899362,0.917007747546184,0.956672558732858,1.35869994750187e-09,0.942271412733729,0.912535174181605,0.972976648326456,0.000278631017530513,GPR18
ENSG00000178882.12,1.04535411608922,1.02657689655272,1.0644747916052,1.61683192403878e-06,1.04901340984414,1.02213752916715,1.07659595957648,0.000302113953965235,FAM101A
ENSG00000183671.11,1.03991550752423,1.02309615946177,1.05701135986894,2.54455981153844e-06,1.04299316686526,1.01727425234792,1.0693623117039,0.000951785772467074,GPR1
ENSG00000036828.12,0.980177012388414,0.9697534841494,0.990712579349357,0.000242054751048819,0.980156349268172,0.967154731038147,0.993332750365069,0.00326288833470147,CASR
ENSG00000231389.6,0.947877232768108,0.921660873487778,0.974839308302306,0.000183519429189424,0.943963534868172,0.908164991122103,0.98117320516819,0.00346123121444803,HLA-DPA1
ENSG00000154822.14,0.931583082582702,0.898402009478502,0.965989646726249,0.000128186115388942,0.898340333262265,0.835473931507901,0.965937205137232,0.00377684645963824,PLCL2
ENSG00000179344.15,0.956771857509096,0.931982081772753,0.982221016073797,0.000969231823790578,0.956740884398079,0.928011523472774,0.986359648265373,0.00447084958876785,HLA-DQB1
ENSG00000146112.10,1.12635479694664,1.06698317913384,1.18903011164114,1.65767473654417e-05,1.14648044992539,1.03906518467292,1.26499996482405,0.00646030505038491,PPP1R18
ENSG00000130749.8,0.840874496069003,0.76213781576323,0.927745485809829,0.000550114661069709,0.824369752794368,0.712865982427948,0.953314516436384,0.00919363796443539,ZC3H4
ENSG00000125864.10,1.07914736770392,1.03696266521735,1.12304818706101,0.000181119360800017,1.08197905297678,1.01940681123366,1.14839204347066,0.00953206188302585,BFSP1
ENSG00000157017.14,0.939733740837804,0.914751738050679,0.965398005748405,6.13806631087589e-06,0.934288020000024,0.885996712381824,0.985211448436377,0.0120665214970407,GHRL
ENSG00000123684.11,1.11045536967223,1.03892264945155,1.18691331706443,0.00204291052516228,1.12893204940633,1.02370015151177,1.24498132611845,0.0151340907123821,LPGAT1
ENSG00000168685.13,0.960249054702797,0.936718241600256,0.984370973156634,0.00135352105784346,0.958310435742265,0.925845399884882,0.991913867441278,0.0154487767582531,IL7R
ENSG00000204310.9,1.19640402144846,1.09555082033393,1.30654147299324,6.57903915692441e-05,1.18317027766447,1.03075071305519,1.35812848656614,0.0168298001061297,AGPAT1
ENSG00000204394.11,1.12840549350986,1.04904436805505,1.21377035762934,0.00116718205785526,1.12302197676322,1.01990731228595,1.23656173958245,0.0182206546434991,VARS
ENSG00000149782.10,1.12544511403176,1.05397263869651,1.20176431360158,0.000415200009654935,1.13739548960696,1.02098847843345,1.26707453326329,0.0194380129906952,PLCB3
ENSG00000144320.12,1.10668422624839,1.02459591561294,1.19534926692961,0.00994048414112652,1.13247052830759,1.01849857034097,1.25919616858758,0.0215247360610876,KIAA1715
ENSG00000158553.4,1.01399590802961,1.00388494000171,1.02420871210503,0.00656191318992937,1.01494622757119,1.00211938029646,1.02793725489697,0.0222412641356462,POM121L2
ENSG00000174197.15,0.911157057732264,0.847771803087144,0.979281430252968,0.0114367377842145,0.908865956156999,0.835710848601546,0.988424797456491,0.0256217222149471,MGA
ENSG00000178562.16,0.95017658812159,0.924517676301514,0.976547633168177,0.000253161238488374,0.955191304558544,0.916334905565961,0.995695375961617,0.0304984433496501,CD28
ENSG00000161958.9,1.02657408175626,1.00684275808617,1.04669208460803,0.0080812872297055,1.03137499341884,1.00273247953075,1.06083566530875,0.0315662717295554,FGF11
ENSG00000120693.12,0.9535491846621,0.922618338346701,0.985516989830388,0.00469733391095481,0.948419988240381,0.901432707242968,0.997856486531319,0.0410787666693866,SMAD9
ENSG00000138092.9,1.20022391858006,1.1250323838217,1.28044087925559,3.2196377975101e-08,1.18617919389707,1.00657305192142,1.39783305081384,0.0415326487456868,CENPO
ENSG00000120262.9,0.95864448560659,0.933751492004514,0.984201104526301,0.00165349640895258,0.961285863246084,0.924490855268812,0.999545323364046,0.0473895072527284,CCDC170
ENSG00000103196.10,1.04316793488284,1.00943731798099,1.07802566933455,0.0117332690664837,1.04967877225958,0.998503973142967,1.10347635519585,0.0572686226064537,CRISPLD2
ENSG00000186470.12,0.946566425281384,0.90636273243321,0.988553440480304,0.0131434503667582,0.947752297487924,0.89447759214651,1.00420002164404,0.0690682636816247,BTN3A2
ENSG00000206503.10,0.956066130329113,0.917438261396817,0.996320389091696,0.0327483241551499,0.95816724228955,0.911090283986944,1.007676714737,0.0964216667384995,HLA-A
ENSG00000204390.9,0.924286952634192,0.86773467797684,0.984524869746651,0.0145206736742183,0.909120955991915,0.80877079649271,1.0219223001224,0.11036010686697,HSPA1L
ENSG00000111321.9,1.09659518512525,1.02751996463308,1.17031400014626,0.00547302344615533,1.0981047196302,0.978686530008194,1.2320941775545,0.111115027335553,LTBR
ENSG00000175727.12,1.09747638052202,1.02546110207141,1.17454909149722,0.00723087521915932,1.08579063900353,0.97929311332764,1.2038697053037,0.11812363446025,MLXIP
